prompts,response
Define the term “person” and explain its scope and application within the code in Indian Penal Code (IPC 1860) Section 11: “Person” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '11', 'IPC Heading': '“Person”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n11.\n""Person"" \nThe word\n""person"" includes any Company or Association or body of persons,\nwhether incorporated or not.', 'BNS Section': '2(35)', 'BNS Heading': '“Woman”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(35) ""woman"" means a female human being of any age;'}"
Describe who or what constitutes the “public” under this code and the context in which this term is used in Indian Penal Code (IPC 1860) Section 12: “Public” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '12', 'IPC Heading': '“Public”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n12.\n""Public"" \nThe word\n""public"" includes any class of the public or any community.', 'BNS Section': '2(26)', 'BNS Heading': '“Person”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(26) ""person"" includes any company or association or body of persons, whether incorporated or not;'}"
Provide the specific definition of “Queen” as outlined in the code and any relevant legal context in Indian Penal Code (IPC 1860) Section 13: Definition of “Queen” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '13', 'IPC Heading': 'Repealed', 'IPC Descriptions': 'Repealed', 'BNS Section': '2(27)', 'BNS Heading': '“Public”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(27) ""public"" includes any class of the public or any community;'}"
Define what is meant by a “servant of government” and the legal standing of such individuals under the code in Indian Penal Code (IPC 1860) Section 14: “Servant of Government” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '14', 'IPC Heading': '“Servant of Government”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n16 [14. ""Servant of Government""\nThe words\n""servant of Government"" denote any officer or servant continued,\nappointed or employed in  India or under the authority of Government.]', 'BNS Section': '2(28)', 'BNS Heading': '“Public servant”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(28) ""public servant"" means a person falling under any of the descriptions, namely:\n(a) every commissioned officer in the Army, Navy or Air Force;\n(b) every Judge including any person empowered by law to discharge, whether by himself or as a member of any body of persons, any adjudicatory functions;\n(c) every officer of a Court including a liquidator, receiver or commissioner whose duty it is, as such officer, to investigate or report on any matter of law or fact, or to make, authenticate, or keep any document, or to take charge or dispose of any property, or to execute any judicial process, or to administer any oath, or to interpret, or to preserve order in the Court, and every person specially authorised by a Court to perform any of such duties;\n(d) every assessor or member of a panchayat assisting a Court or public servant;\n(e) every arbitrator or other person to whom any cause or matter has been referred for decision or report by any Court, or by any other competent public authority;\n(f) every person who holds any office by virtue of which he is empowered to place or keep any person in confinement;\n(g) every officer of the Government whose duty it is, as such officer, to prevent offences, to give information of offences, to bring offenders to justice, or to protect the public health, safety or convenience;\n(h) every officer whose duty it is, as such officer, to take, receive, keep or expend any property on behalf of the Government, or to make any survey, assessment or contract on behalf of the Government, or to execute any revenueprocess, or to investigate, or to report, on any matter affecting the pecuniary interests of the Government, or to make, authenticate or keep any document relating to the pecuniary interests of the Government, or to prevent the infraction of any law for the protection of the pecuniary interests of the Government;\n(i) every officer whose duty it is, as such officer, to take, receive, keep or expend any property, to make any survey or assessment or to levy any rate or tax for any secular common purpose of any village, town or district, or to make, authenticate or keep any document for the ascertaining of the rights of the people of any village, town or district;\n(j) every person who holds any office by virtue of which he is empowered to prepare, publish, maintain or revise an electoral roll or to conduct an election or part of an election;\n(k) every person\n(i) in the service or pay of the Government or remunerated by fees or commission for the performance of any public duty by the Government;\n(ii) in the service or pay of a local authority as defined in clause (31) of section 3 of the General Clauses Act, 1897, a corporation established by or under a Central or State Act or a Government company as defined in clause (45) of section 2 of the Companies Act, 2013.\nExplanation. (a) persons falling under any of the descriptions made in this clause are public servants, whether appointed by the Government or not;\n(b) every person who is in actual possession of the situation of a public servant, whatever legal defect there may be in his right to hold that situation is a public servant;\n(c) ""election"" means an election for the purpose of selecting members of any legislative, municipal or other public authority, of whatever character, the method of selection to which is by, or under any law for the time being in force. Illustration. A Municipal Commissioner is a public servant;'}"
Explain the historical context and definition of “British India” as it appears in the code in Indian Penal Code (IPC 1860) Section 15: Definition of “British India” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '15', 'IPC Heading': 'Repealed', 'IPC Descriptions': 'Repealed', 'BNS Section': 'Repealed in BNS', 'BNS Heading': 'Repealed in BNS', 'BNS description': 'Repealed in BNS'}"
Describe how the “Government of India” is defined and its significance within the code in Indian Penal Code (IPC 1860) Section 16: Definition of “Government of India” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '16', 'IPC Heading': 'Repealed', 'IPC Descriptions': 'Repealed', 'BNS Section': 'Repealed in BNS', 'BNS Heading': 'Repealed in BNS', 'BNS description': 'Repealed in BNS'}"
Provide a comprehensive definition of “government” and its application in various legal contexts within the code in Indian Penal Code (IPC 1860) Section 17: “Government” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '17', 'IPC Heading': '“Government”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n16 [17. ""Government""\nThe word\n""Government"" denotes the Central Government or the Government of a 17[]\nState.]', 'BNS Section': '2(12)', 'BNS Heading': '“Government”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(12) ""Government"" means the Central Government or a State Government;'}"
Define the term “India” as used in the code and its geographical and political implications in Indian Penal Code (IPC 1860) Section 18: “India” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '18', 'IPC Heading': '“India”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n18  [18. "" """"  India  "" means the territory India  excluding the State of \n Jammu and Kashmir  .]', 'BNS Section': 'Repealed in BNS', 'BNS Heading': 'Repealed in BNS', 'BNS description': 'Repealed in BNS'}"
Explain the definition of “judge” and the roles and responsibilities associated with this title under the code in Indian Penal Code (IPC 1860) Section 19: “Judge” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '19', 'IPC Heading': '“Judge”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n19.\n""Judge"" \nThe word\n""Judge"" denotes not only every person who is officially designated as\na Judge, but also every person who is empowered by law to give, in any legal\nproceeding, civil or criminal, a definitive judgment, or a judgment which, if\nnot appealed against, would be definitive, or a judgment which is confirmed by\nsome other authority, would be definitive, or who is one of a body of persons,\nwhich body of persons is empowered by law to give such a judgment.\nIllustrations\n(a) A Collector\nexercising jurisdiction in a suit under Act 10 of 1859, is a Judge.\n(b) A Magistrate\nexercising jurisdiction in respect of a charge on which he has power to\nsentence to fine or imprisonment, with or without appeal, is a Judge.\n(c) A member of a\npanchayat which has power, under Regulation VII, 1816, of the Madras Code, to\ntry and determine suits, is a Judge.\n(d) A Magistrate\nexercising jurisdiction in respect of a charge on which he has power only to\ncommit for trial to another court, is not a Judge.', 'BNS Section': '2(16)', 'BNS Heading': '“Judge”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(16) ""Judge"" means a person who is officially designated as a Judge and includes a person,\n(i) who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment, or a judgment which, if not appealed against, would be definitive, or a judgment which, if confirmed by some other authority, would be definitive; or\n(ii) who is one of a body or persons, which body of persons is empowered by law to give such a judgment. Illustration. A Magistrate exercising jurisdiction in respect of a charge on which he has power to sentence to fine or imprisonment, with or without appeal, is a Judge;'}"
Describe what constitutes a “court of justice” and the legal framework governing its operation within the code in Indian Penal Code (IPC 1860) Section 20: “Court of Justice” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.Define what is meant by a 'public servant' and explain the legal standing of such individuals under the code in Indian Penal Code (IPC 1860) Section 21: “Public servant” and their relevant Bharatiya Nyaya Sanhita 2023 (BNS 2023) code reference.,"{'IPC Section': '20', 'IPC Heading': '“Court of Justice”', 'IPC Descriptions': ' Indian Penal Code, 1860 \n20.\n""Court of Justice"" \nThe words ""Court\nof Justice"" denote a Judge who is empowered by law to act judicially\nalone, or a body of Judges which is empowered by law to act judicially as a\nbody, when such Judge or body of Judges is acting judicially.\nIllustration\nA panchayat acting\nunder 19[Regulation VII, 1816, of the Madras Code,] having power to\ntry and determine suits, is a Court of Justice.', 'BNS Section': '2(5)', 'BNS Heading': '“Court”', 'BNS description': 'The Bharatiya Nyaya Sanhita, 2023\n 2. Definitions \nIn this Sanhita, unless the context otherwise requires,\n(5) ""Court"" means a Judge who is empowered by law to act judicially alone, or a body of Judges which is empowered by law to act judicially as a body, when such Judge or body of Judges is acting judicially;'}"
